ID,Accession,RPM,Chromosome,Start,End,Strand,Confidence,Fetch
"hsa-mir-6861",MI0022708,0.342,chr12,112163258,112163321,"-","-",""
"hsa-mir-6862-1",MI0022709,0.282,chr16,28390982,28391051,"-","-",""
"hsa-mir-6862-2",MI0026415,0.59,chr16,28724252,28724321,"+","-",""
"hsa-mir-6863",MI0022710,12.4,chr16,56904264,56904353,"+","-",""
"hsa-mir-6864",MI0022711,0.308,chr17,4969702,4969771,"-","-",""
"hsa-mir-6865",MI0022712,0.222,chr17,4970086,4970150,"-","-",""
"hsa-mir-6866",MI0022713,0.247,chr17,40161933,40162001,"+","-",""
"hsa-mir-6867",MI0022714,1.53,chr17,40193597,40193663,"+","-",""
"hsa-mir-6868",MI0022715,"-",chr17,76098019,76098076,"-","-",""
"hsa-mir-6869",MI0022716,28.3,chr20,1392900,1392961,"-","-",""
"hsa-mir-6870",MI0022717,"-",chr20,10649636,10649695,"-","-",""
"hsa-mir-6871",MI0022718,0.171,chr20,41169023,41169078,"+","-",""
"hsa-mir-6872",MI0022719,"-",chr3,50273236,50273297,"+","-",""
"hsa-mir-6873",MI0022720,20.2,chr6,33287227,33287289,"-","-",""
"hsa-mir-6874",MI0022721,1.23,chr7,5711840,5711910,"-","-",""
"hsa-mir-6875",MI0022722,0.887,chr7,100868036,100868107,"+","-",""
"hsa-mir-6876",MI0022723,"-",chr8,25345402,25345474,"+","-",""
"hsa-mir-6877",MI0022724,1.15,chr9,133051996,133052059,"+","-",""
"hsa-mir-6878",MI0022725,0.197,chr1,150492345,150492410,"+","-",""
"hsa-mir-6879",MI0022726,"-",chr11,65018505,65018570,"+","-",""
"hsa-mir-6880",MI0022727,0.854,chr12,124337181,124337242,"-","-",""
"hsa-mir-6881",MI0022728,0.446,chr15,74411357,74411432,"-","-",""
"hsa-mir-6882",MI0022729,1.73,chr15,74840642,74840707,"-","-",""
"hsa-mir-6883",MI0022730,0.459,chr17,8144994,8145071,"-","-",""
"hsa-mir-6884",MI0022731,0.422,chr17,40026332,40026409,"-","-",""
"hsa-mir-6885",MI0022732,0.171,chr19,6389638,6389703,"-","-",""
"hsa-mir-6886",MI0022733,"-",chr19,11113474,11113534,"+","-",""
"hsa-mir-6887",MI0022734,0.222,chr19,35122700,35122764,"+","-",""
"hsa-mir-6888",MI0022735,"-",chr2,159186835,159186901,"+","-",""
"hsa-mir-6889",MI0022736,"-",chr22,41252992,41253050,"-","-",""
"hsa-mir-6890",MI0022737,0.222,chr3,49099854,49099914,"-","-",""
"hsa-mir-6891",MI0022738,"-",chr6,31355224,31355316,"-","-",""
"hsa-mir-6892",MI0022739,2.36,chr7,143382686,143382800,"+","-",""
"hsa-mir-6893",MI0022740,"-",chr8,144435551,144435619,"-","-",""
"hsa-mir-6894",MI0022741,0.222,chrX,53198889,53198945,"-","-",""
"hsa-mir-6895",MI0022742,0.222,chrX,53195411,53195488,"-","-",""
"hsa-mir-7106",MI0022957,0.778,chr12,113159113,113159177,"-","-",""
"hsa-mir-7107",MI0022958,"-",chr12,121444273,121444352,"-","-",""
"hsa-mir-7108",MI0022959,0.438,chr19,2434914,2435000,"-","-",""
"hsa-mir-7109",MI0022960,0.222,chr22,31621467,31621531,"-","-",""
"hsa-mir-7110",MI0022961,28.9,chr3,123161794,123161879,"+","-",""
"hsa-mir-7111",MI0022962,0.222,chr6,35470508,35470579,"+","-",""
"hsa-mir-7112",MI0022963,0.222,chr8,144262673,144262737,"-","-",""
"hsa-mir-7113",MI0022964,0.443,chr11,68032864,68032922,"+","-",""
"hsa-mir-7114",MI0022965,0.171,chr9,137450026,137450086,"-","-",""
"hsa-mir-7150",MI0023610,"-",chr9,123485529,123485622,"-","-",""
"hsa-mir-7151",MI0023611,1.75,chr10,67403351,67403410,"-","-",""
"hsa-mir-7152",MI0023612,"-",chr10,71790747,71790800,"+","-",""
"hsa-mir-7153",MI0023613,86.8,chr18,11654885,11654941,"-","-",""
"hsa-mir-7154",MI0023614,11.2,chr11,45691704,45691776,"-","-",""
"hsa-mir-7155",MI0023615,0.365,chr11,64341849,64341904,"-","-",""
"hsa-mir-7156",MI0023616,2.48,chr1,77060143,77060202,"+","-",""
"hsa-mir-7157",MI0023617,0.308,chr2,140586626,140586685,"-","-",""
"hsa-mir-7158",MI0023618,1.31,chr2,5974662,5974732,"+","-",""
"hsa-mir-7159",MI0023620,31.4,chr6,33899135,33899200,"+","-",""
"hsa-mir-7160",MI0023621,0.0977,chr8,2076589,2076640,"+","-",""
"hsa-mir-7161",MI0023619,760,chr6,158609707,158609790,"+","-",""
"hsa-mir-7162",MI0023623,0.197,chr10,30368597,30368665,"-","-",""
"hsa-mir-7515",MI0024354,"-",chr2,6650373,6650439,"+","-",""
"hsa-mir-7641-1",MI0024975,22.3,chr11,104252591,104252651,"+","-",""
"hsa-mir-7641-2",MI0024976,32.8,chr14,75604209,75604261,"+","-",""
"hsa-mir-7702",MI0025238,0.342,chr9,111271156,111271214,"-","-",""
"hsa-mir-7703",MI0025239,0.171,chr14,24143489,24143565,"-","-",""
"hsa-mir-7704",MI0025240,5.95,chr2,176188843,176188901,"+","-",""
"hsa-mir-7705",MI0025241,1.42,chr8,100702968,100703024,"-","-",""
"hsa-mir-7706",MI0025242,0.27,chr15,85380596,85380662,"+","-",""
"hsa-mir-7843",MI0025510,0.0977,chr14,72516820,72516898,"+","-",""
"hsa-mir-7844",MI0025514,"-",chr12,94571231,94571352,"-","-",""
"hsa-mir-7845",MI0025515,"2.7e+03",chr2,207166400,207166498,"+","-",""
"hsa-mir-7846",MI0025516,1.99,chr1,12166943,12167038,"+","-",""
"hsa-mir-7847",MI0025517,0.222,chr11,1880045,1880147,"+","-",""
"hsa-mir-7848",MI0025518,"-",chr8,133046481,133046581,"-","-",""
"hsa-mir-7849",MI0025519,"-",chr4,146408583,146408688,"+","-",""
"hsa-mir-7850",MI0025520,"-",chr19,2630715,2630793,"+","-",""
"hsa-mir-7851",MI0025521,32.3,chr12,42323700,42323859,"-","-",""
"hsa-mir-7852",MI0025522,"-",chr1,107897223,107897304,"+","-",""
"hsa-mir-7853",MI0025523,0.311,chr6,6169304,6169435,"-","-",""
"hsa-mir-7854",MI0025524,0.272,chr16,81533902,81533966,"+","-",""
"hsa-mir-7855",MI0025525,0.647,chr14,64785626,64785686,"-","-",""
"hsa-mir-7856",MI0025526,0.272,chr1,86357632,86357687,"-","-",""
"hsa-mir-7973-1",MI0025748,"-",chr15,51314034,51314109,"+","-",""
"hsa-mir-7973-2",MI0025749,"-",chr15,51314032,51314107,"-","-",""
"hsa-mir-7974",MI0025750,0.171,chr19,11495544,11495622,"-","-",""
"hsa-mir-7975",MI0025751,510,chr19,55123225,55123292,"-","-",""
"hsa-mir-7976",MI0025752,0.485,chr3,127587111,127587176,"-","-",""
"hsa-mir-7977",MI0025753,0.852,chr3,176515103,176515151,"+","-",""
"hsa-mir-7978",MI0025754,0.186,chr4,21464700,21464758,"-","-",""
"hsa-mir-8052",MI0025888,0.859,chr11,130666735,130666803,"+","-",""
"hsa-mir-8053",MI0025889,0.2,chr4,47652669,47652743,"+","-",""
"hsa-mir-8054",MI0025890,"-",chr11,23419105,23419190,"-","-",""
"hsa-mir-8055",MI0025891,"-",chr8,6622124,6622220,"-","-",""
"hsa-mir-8056",MI0025892,0.2,chr5,173347455,173347536,"+","-",""
"hsa-mir-8057",MI0025893,0.171,chr18,26591467,26591535,"-","-",""
"hsa-mir-8058",MI0025894,0.748,chr16,82688931,82689019,"+","-",""
"hsa-mir-8059",MI0025895,"-",chr17,50768650,50768730,"+","-",""
"hsa-mir-8060",MI0025896,"-",chr3,96359964,96360039,"+","-",""
"hsa-mir-8061",MI0025897,0.222,chr19,54645309,54645383,"+","-",""
"hsa-mir-8062",MI0025898,"-",chr20,7371608,7371692,"+","-",""
"hsa-mir-8063",MI0025899,"-",chr15,36972821,36972901,"-","-",""
"hsa-mir-8064",MI0025900,0.748,chr3,52846463,52846552,"-","-",""
"hsa-mir-8065",MI0025901,1.5,chr16,5632467,5632566,"+","-",""
"hsa-mir-8066",MI0025902,"-",chr4,101240795,101240872,"-","-",""
"hsa-mir-8067",MI0025903,"-",chr15,62304658,62304734,"-","-",""
"hsa-mir-8068",MI0025904,0.0977,chr11,28477481,28477548,"-","-",""
"hsa-mir-8069-1",MI0025905,"-",chr21,6859171,6859256,"+","-",""
"hsa-mir-8069-2",MI0031519,"-",chr21,13724189,13724274,"+","-",""
"hsa-mir-8070",MI0025906,1.19,chr11,11783135,11783222,"-","-",""
"hsa-mir-8071-1",MI0025907,0.222,chr14,105621116,105621180,"+","-",""
"hsa-mir-8071-2",MI0026417,"-",chr14,105640168,105640232,"+","-",""
"hsa-mir-8072",MI0025908,0.271,chr12,123364764,123364843,"-","-",""
"hsa-mir-8073",MI0025909,0.833,chr13,110340958,110341029,"+","-",""
"hsa-mir-8074",MI0025910,"-",chr19,51206929,51207009,"-","-",""
"hsa-mir-8075",MI0025911,"-",chr13,113262920,113262999,"+","-",""
"hsa-mir-8076",MI0025912,"-",chr3,113432118,113432200,"-","-",""
"hsa-mir-8077",MI0025913,"-",chr19,42351131,42351205,"+","-",""
"hsa-mir-8078",MI0025914,0.748,chr18,112256,112339,"-","-",""
"hsa-mir-8079",MI0025915,0.444,chr13,44196129,44196200,"-","-",""
"hsa-mir-8080",MI0025916,"-",chr2,79866495,79866583,"-","-",""
"hsa-mir-8081",MI0025917,"-",chr9,106600928,106601022,"+","-",""
"hsa-mir-8082",MI0025918,"-",chr4,113152282,113152362,"+","-",""
"hsa-mir-8083",MI0025919,0.222,chr1,153689705,153689793,"-","-",""
"hsa-mir-8084",MI0025920,0.423,chr8,93029751,93029839,"+","-",""
"hsa-mir-8085",MI0025921,0.22,chr19,44758657,44758721,"+","-",""
"hsa-mir-8086",MI0025922,305,chr10,28289258,28289350,"-","-",""
"hsa-mir-8087",MI0025923,0.983,chr11,27514970,27515047,"-","-",""
"hsa-mir-8088",MI0025924,"-",chrX,52336557,52336642,"-","-",""
"hsa-mir-8089",MI0025925,"-",chr5,181043403,181043484,"-","-",""
"hsa-mir-8485",MI0027288,15.2,chr2,50696172,50696262,"-","-",""
"hsa-mir-9500",MI0029185,"-",chr2,218823090,218823154,"+","-",""
